fid,SiteID,Name,Type,Type_Code,Phase,Latitude,Longitude,HubDist,TRI,Slope,VDCN,TWI,DEM
1,1,ShangCheng,Enclosure,1,Phase 3,27.944167,116.713194,163.1154486,5.09902,3.10963,77,7.08934,77
2,2,MenJiaShan,Enclosure,1,Phase 1; Phase 3,27.954028,116.72525,803.3011565,7.74597,4.97236,74,5.03194,74
3,3,LiWang,Enclosure,1,Phase 2; Phase 3,27.950472,116.792778,559.4305004,20.29778,13.14211,132,4.11926,132
4,4,HouLongGang,Enclosure,1,Phase 1; Phase 3,27.934139,116.697889,70.05384498,5,1.01275,77,12.47863,77
5,5,ChengShangGongJia,Enclosure,1,Phase 1; Phase 3,28.03175,116.866167,693.1979244,12.04159,8.16581,75,4.39627,75
6,6,ChangFengCunChengDunShang,Enclosure,1,Phase 3,27.9515,116.612778,427.0614275,6.48074,3.32143,72,8.16997,72
7,7,HaoZhuDun,Enclosure,1,Phase 1; Phase 3,27.894778,116.685417,795.7518331,4.69042,1.4321,77,5.37275,77
8,8,BaiYanCunIHao,Enclosure,1,Unknown,27.811556,116.707028,44.47954047,4,2.02487,61,5.47769,61
9,9,BaiYanCunⅡHao,Enclosure,1,Phase 3,27.811222,116.707889,124.3281771,8.66025,5.75962,58,15.0449,58
10,10,BaiYanCunⅢHao,Enclosure,1,Unknown,27.811472,116.708528,1161.873997,4.58258,2.90182,59,9.18023,59
11,11,BaiYanCunIvHao,Enclosure,1,Phase 2,27.812167,116.708194,177.8331378,3.16228,1.6876,63,5.65399,63
12,12,BaiYanCunVHao,Enclosure,1,Unknown,27.811944,116.706278,74.06265165,1.73205,0.67521,60,11.22416,60
13,13,JingShangCun,Enclosure,1,Phase 1; Phase 3,27.899806,116.690167,581.3282688,6.7082,4.82254,86,5.29211,86
14,14,ChaJiaLong,Enclosure,1,Unknown,28.041861,116.741944,662.7306544,2.23607,1.06752,71,10.44533,71
15,15,CheMenCunChengDunShang,Enclosure,1,Unknown,27.982194,116.699056,553.4116377,8.88819,6.34412,64,6.95451,64
16,16,ChengHuCunChengDunShangIHao,Enclosure,1,Unknown,28.049139,116.540917,625.2256516,2.82843,1.06752,47,6.00505,47
17,17,ChengHuCunChengDunShangⅡHao,Enclosure,1,Unknown,28.040222,116.553139,1238.020399,6.16441,4.58231,57,5.75113,57
18,18,ChengQiangShan,Enclosure,1,Phase 2; Phase 3,28.030111,116.600278,1331.800008,5.56776,2.71992,55,8.5393,55
19,19,ChengTangShan,Enclosure,1,Phase 3,27.997278,116.613944,738.6634506,4.89898,2.43314,56,5.05311,56
20,20,ChengZaiXia,Enclosure,1,Phase 2; Phase 3,27.802611,116.735611,436.6357326,12.52996,8.16581,76,7.32934,76
21,21,DaYueShan,Enclosure,1,Phase 2,27.804111,116.747611,389.7662751,20.56696,4.58231,69,13.38308,69
22,22,GuChengDun,Enclosure,1,Phase 2; Phase 3,27.8075,116.72625,379.8138665,3.87298,2.43314,64,8.18064,64
23,23,HeShangShan,Enclosure,1,Unknown,27.807056,116.738389,141.4759212,4.12311,2.38594,73,8.29465,73
24,24,HeDunXia,Enclosure,1,Unknown,27.891306,116.655028,683.0128761,3,1.6876,73,6.39656,73
25,25,HouChengDun,Enclosure,1,Unknown,28.033722,116.592861,539.22492,2.82843,1.96786,44,6.50118,44
26,26,QianChengDun,Enclosure,1,Unknown,28.028389,116.593111,602.0378343,3.31662,2.26364,45,6.01241,45
27,27,JinPenJia,Enclosure,1,Phase 3,27.919278,116.766639,1117.730816,6,2.63503,90,4.85815,90
